,Date,Nb Samples,Mean Tamb,Mean Sun Rad,Std Tamb,Std Sun Rad
CritMin,2017-12-25,26,-1.0338141025641026,239.5753205128205,0.38780242127753395,9.134905348524176
Med. 0,2017-01-24,64,0.2452734375,274.8447265625,0.7196646649944761,31.38763164923317
Med. 5,2017-11-17,26,3.80099358974359,283.14583333333337,1.0558198833458177,33.48788700991581
Med. 1,2017-03-22,30,6.08388888888889,377.04791666666665,0.8644797115118329,15.886997071375104
Med. 6,2017-10-28,18,7.544837962962963,294.9212962962963,1.192140632630019,8.953183527639348
Med. 2,2017-04-21,40,9.823427083333332,395.65729166666665,1.1371265333795424,44.37516601178767
Med. 3,2017-05-16,37,13.917894144144144,406.56869369369366,1.2729983226292632,51.4532648259341
Med. 4,2017-09-13,41,18.20780487804878,412.5940040650407,1.303355615166759,42.16418031463252
VarMax,2017-06-30,49,21.933188775510203,434.8545918367347,0.8338567000231336,26.40469138843241
CritMax,2017-07-17,29,23.551795977011494,444.89008620689657,0.4670363796895004,9.601515968641246
